Needs,Feelings,ResponseID,Life_Satisfaction,Plan_graduate_thisyear,Feeling_today,Degree_programm,Faculty
,Slight stress due to upcoming exams and not on planning. unfocused and unmotivated,47,6,nee,4,bachelor jaar 2,technische natuurwetenschappen (tnw)
,,48,6,nee,7,bachelor jaar 2,luchtvaart- en ruimtevaarttechniek (lr)
,,49,6,ja,4,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,rushed,50,3,ja,4,bachelor jaar 4 +,industrieel ontwerpen (io)
,,51,8,nee,6,bachelor jaar 2,bouwkunde (bk)
,,52,9,no,6,masters 2nd year +,"electrical engineering, mathematic, and computer sciences (eemcs)"
"I found it difficult that I no longer had an income from the moment my student finance / loan stopped (this would also have been difficult without the Coronacrisis). I have been delayed by the Coronacrisis, so I was without income for longer than I had planned.",I feel fine but it is difficult to focus today / lately,53,7,ja,6,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,54,7,nee,7,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
,,55,6,yes,4,masters 2nd year +,civil engineering and geosciences (ceg)
,,56,7,ja,8,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,57,7,no,7,masters 2nd year +,aerospace engineering (ae)
I don't know why it is but I am less motivated since the coronacrisis.,,58,6,nee,7,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
,,59,7,yes,6,masters 2nd year +,"technology, policy, and management (tpm)"
Tuition Fees for Academic Year 2020-21 Should Be Reimbursed AS International Students Are Paying Hindy Fees and Not Able To Enjoy Any of the University Resources. Paying So Much Takes A Toll On Their Mental Health and Dealing with Finance is a Crucial Part for Mental Well-Being. Please Refund Fees,,60,8,yes,6,masters 2nd year +,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,61,8,ja,8,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,62,8,ja,7,bachelor jaar 4 +,industrieel ontwerpen (io)
"poor home workplace, no guidelines on camera on or off during lectures, graduating in total loneliness, little social contact, not being able to go to the university to study",,63,3,ja,5,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,64,8,nee,8,bachelor jaar 1,technische natuurwetenschappen (tnw)
,,65,4,yes,3,bachelor 3rd year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,received good progress in project after months of stuck,66,7,nee,9,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
The shared labs where you could ask questions to TAs were now online. We as students have the idea that a TA can now cut a conversation much easier online than it is normal in a live setting.,,67,8,ja,8,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
"Lonely if you have a profession alone, the room is not optimally distracted quickly, so in the evening also and during the weekend also, do not grab a rest but also not effectively busy",,68,8,ja,6,bachelor jaar 3,industrieel ontwerpen (io)
"miss physical education. During my studies (Architecture) you just need a teacher (and fellow students) who can sketch on your printed work and thus bring depth to the design. Some teachers prefer to teach digitally or come to the faculty as little as possible. This keeps communication difficult. Each guidance via Zoom also feels like a presentation moment, because it needs to be meticulously prepared (making slides, order of presentation, questions in advance). Physical education makes it all looser, causes less 'deadline' stress feeling and also leaves something to chance. In my opinion, digital education remains a forced form of communication and is less appropriate for a long graduation process. It was a long year for me, but in the end everything will be fine.",,69,7,ja,7,masters jaar 2 +,bouwkunde (bk)
,"It is Sunny Today, winter is by far more depression:/",70,6,no,7,masters 1st year,"technology, policy, and management (tpm)"
,,71,7,nee,7,masters jaar 1,civiele techniek & geowetenschappen (citg)
,,72,7,ja,8,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
,,73,6,ja,6,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,74,7,nee,4,bachelor jaar 3,luchtvaart- en ruimtevaarttechniek (lr)
"I have noticed that as soon as you can no longer come along with the study rhythm, even though it is due to health circumstances that suddenly change without being able to do anything about it, that you are no longer seen and no one wants to help you to See what is still needed. I feel that if you are doing badly, nobody fascinates something and you will be left to your fate, even when you ask for help.",I miss enthusiasm to start the day,75,3,nee,4,bachelor jaar 2,industrieel ontwerpen (io)
,,76,6,nee,5,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"Not allowed to go to the campus, TU Delft steering group that does not care about students and Knikken all Dreamteams without thinking.",,77,5,nee,,bachelor jaar 2,luchtvaart- en ruimtevaarttechniek (lr)
"52,0162690, 4,386379",Not really no,78,6,no,5,bachelor 2nd year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,79,10,nee,10,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
,,80,7,no,8,bachelor 1st year,applied sciences (as)
Difficult communication via Zoom. feeling of loneliness. No exhaust valve for study and stress.,completely exhausted,81,5,nee,4,bachelor jaar 2,industrieel ontwerpen (io)
,,82,3,nee,3,masters jaar 1,"techniek, bestuur en management (tbm)"
,,83,3,ja,5,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,84,5,nee,4,masters jaar 1,industrieel ontwerpen (io)
,stressed,85,8,no,6,masters 1st year,"mechanical, maritime, and material engineering (3me)"
Graduating at home: reading literature and writing a report Only in your room is incredibly lonely and totally not motivating. As soon as it can have to be graduates really quickly go to the TU and physically with supervisors meetings.,,86,6,nee,4,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,87,8,nee,8,masters jaar 1,civiele techniek & geowetenschappen (citg)
,,88,5,no,3,bachelor 1st year,aerospace engineering (ae)
,"tense, have an important conversation with my supervisor",89,6,ja,4,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
Too much behind a screen must be the lack of social contact,,90,9,nee,9,masters jaar 1,industrieel ontwerpen (io)
,,91,5,no,,masters 1st year,architecture and the built environment (a&be)
,,92,6,ja,7,bachelor jaar 3,technische natuurwetenschappen (tnw)
,,93,3,no,6,masters 1st year,civil engineering and geosciences (ceg)
"depression, anxiety no contact with fellow students and high need for a pyschologist but have months long waiting times and people who don't help you (even within the TU, the students are also worthless)",,94,2,ja,4,bachelor jaar 3,bouwkunde (bk)
"No blended learning, no blended learning. Really worthless way of teaching. Also no more online exams. never again. I just want to go into the lecture hall with an optimistic feeling that I will get things in the coming year and not as a result of endless home lessons and examination.",,95,6,nee,7,bachelor jaar 2,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,96,7,nee,8,masters jaar 2 +,industrieel ontwerpen (io)
,hik against the next step in my project,97,8,ja,7,masters jaar 2 +,industrieel ontwerpen (io)
,,98,8,ja,9,bachelor jaar 3,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,99,1,no,1,masters 1st year,aerospace engineering (ae)
,,100,4,yes,4,masters 2nd year +,"electrical engineering, mathematic, and computer sciences (eemcs)"
Not finished with a large group of fellow students.,I am broke.,101,8,nee,6,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
,,102,7,nee,6,bachelor jaar 3,technische natuurwetenschappen (tnw)
,,103,9,nee,9,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,104,5,no,4,masters 1st year,"mechanical, maritime, and material engineering (3me)"
"Normally I am a super motivated person of myself, but the last two months of the year I notice that it takes a lot of effort to sit behind your laptop all day and deliver work. Because of this I do not perform the way I would normally want.",,105,8,nee,8,bachelor jaar 1,bouwkunde (bk)
,,106,6,nee,7,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
,,107,8,nee,7,masters jaar 1,bouwkunde (bk)
"Social contact would be for me via AEGEE. But everything was online and then I don't know people well enough to participate comfortably. Also drinks in pairs is uncomfortable for me. Finally, everyone is about drinking. I don't drink alcohol and don't like the nightlife. It seems as if there is nothing to do for me. There are no activities for me and therefore I don't meet new people.",,108,8,nee,5,"anders, namelijk",civiele techniek & geowetenschappen (citg)
,,109,0,nee,0,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
"I just can't study at home anymore. I was well on my way to my P, only the last quarter did not work anymore.",,110,8,ja,6,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,111,8,nee,8,bachelor jaar 2,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"1) Looking at a screen for whole days suffers from headache 2) requirements that are not reduced or even increased all its circumstances, causes a sense of misunderstanding and demotivation.",,112,5,nee,7,bachelor jaar 2,bouwkunde (bk)
"I think it is very unfortunate that students have always stayed outside the picture with the government. We have never been appointed once during the press conferences. I find this very pathetic, also because, like all other people, we have had to hand in our freedom and physically the least bothered by the coronavirus.",,113,6,ja,6,bachelor jaar 4 +,technische natuurwetenschappen (tnw)
"The Students Lives Are Devastated, They Have Lost All Their Incomes and They Couldern't Concentrate on Studies from Locked Small Student Rooms.",,114,1,no,2,"other, please specify",civil engineering and geosciences (ceg)
,,115,0,no,5,masters 2nd year +,aerospace engineering (ae)
,,116,5,no,4,masters 2nd year +,aerospace engineering (ae)
Without the ride to school and the scheduled time you will lose the structure.,"last lots of graduation, a lot to think about and little distraction",117,7,ja,6,masters jaar 2 +,bouwkunde (bk)
"I feel that there is not always understanding from the training that you may not know anyone. As a result, making groups can become very stressful.",,118,9,nee,7,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,119,8,nee,7,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
no,,120,5,no,4,masters 1st year,aerospace engineering (ae)
"The workload is still too high for this difficult period, I don't feel that the work has been adjusted to the situation. This makes it incredibly heavy to get through.","tired, not so much motivation to work at school",121,8,ja,6,"anders, namelijk",bouwkunde (bk)
I need to talk to a therapist/gp. I've talked to the academic counselors and they are unable/refusing to help me.,,122,3,no,1,bachelor 4th year +,aerospace engineering (ae)
The relocation with project enjoyed (especially online) was by no means as efficient as it could have been if the face-to-face on campus could have been. This has certainly had an effect on the time needed for assignments and the final results.,,123,6,nee,8,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
,,124,6,ja,7,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
,,125,7,nee,7,bachelor jaar 2,industrieel ontwerpen (io)
,,126,7,ja,6,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
,,127,9,nee,7,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,128,7,nee,7,bachelor jaar 3,technische natuurwetenschappen (tnw)
"Duration this Covid Situation, I've Found It is Difficult to Do the Group/Lab Assignment from Finding the Group Members/Partners and Doing the Assignment EspecaXLY AS International Student. Therefore it makes me worry about my academic sitation and worry that I Couldnt Finish in 2 years. If I Couldnt Finish in 2 Years, I Don't Know How to Pay the Tuition Fee for the Upcoming Years. thank you",worried about academic and tuition fee,129,5,no,4,masters 1st year,architecture and the built environment (a&be)
"Working together in groups for projects is frustrating, due to the lack of social control it is a lot less smooth.",Currently quite busy with meetings and the like.,130,7,nee,7,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,131,8,ja,8,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,132,,,,,
,,133,6,nee,6,masters jaar 1,industrieel ontwerpen (io)
"Little contact with supervisors, feel alone and little available from TU",,134,5,nee,6,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,135,8,nee,8,bachelor jaar 2,luchtvaart- en ruimtevaarttechniek (lr)
At the moment I experience little guidance during my Bep.,,136,8,ja,7,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
,,137,5,no,5,masters 1st year,civil engineering and geosciences (ceg)
,,138,7,ja,8,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,139,4,ja,6,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,140,7,nee,7,masters jaar 2 +,industrieel ontwerpen (io)
"Not specific problems with myself. Only I would like to let me know that I, and really many people around me have had the feeling of being abandoned. You feel that you are only there (together with your fellow students you know/ live with). It seemed as if the TU itself does not want to recognize the problem. There have been two surveys as far as I know, the first of which turned around the problem and it seemed as if the TU did not dare to ask how people really was doing, and this is a bit of the mustard after the meal. I still think it is very good that it happens, not that. In addition, little has really been undertaken (in my studies) to make education on location possible, or to search for something of social contact.",,141,8,nee,7,masters jaar 1,"techniek, bestuur en management (tbm)"
"The Rule About Paying Fees After May 31st Until August 31st Makes No Sense As I Myself Have Written Some of the Exams In My First Year in July. then why should I pay until August 31st when I have already graduated in June. Please do something about this. As Stress Due to Financial Burden (Especiate Duration Pandemic Times) is QUITE HIGH, A MULTSUDE OF FACTORS Including This Stress Have Contributed to My Declining Mental Health. While Measures Are Tasks to Reduce Tuition Fees for EU Students by 50 percent, Literally Nothing is Done in Favor of the International Students. Such Measures and Stoic Responses to Emergency Pleads, Make Me (An International Student) Feel Like the Money I Pay is Valued More than Myself. Doesn't this need a fix?",,142,5,yes,5,masters 2nd year +,aerospace engineering (ae)
,,143,7,nee,7,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,144,3,nee,7,bachelor jaar 1,bouwkunde (bk)
,,145,,,,"anders, namelijk",luchtvaart- en ruimtevaarttechniek (lr)
,Extra stress due to studying Alone,146,4,no,2,bachelor 2nd year,aerospace engineering (ae)
,,147,5,no,7,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,148,8,ja,8,bachelor jaar 3,bouwkunde (bk)
Stress and fear due to performance pressure and too short of social contacts.,,149,3,nee,4,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
The quality of feedback with online guidance is lower. The lack of clarity around models in the design courses is awkward + I don't think you can ask for a model if there is not a room for structure to work on it for several days.,,150,2,nee,4,bachelor jaar 4 +,bouwkunde (bk)
"Motivation Problems to sit back at home and be effective if there is no direct pressure behind it (deadline/exam), so that I am working from deadline to deadline",,151,7,nee,5,masters jaar 1,technische natuurwetenschappen (tnw)
,,152,,nee,,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,153,4,ja,5,bachelor jaar 4 +,industrieel ontwerpen (io)
"Low motivation, difficulty concentrating, feeling of loneliness, not very connected to knowledge/friends that I normally only see at university",,154,7,ja,7,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,155,4,no,3,bachelor 2nd year,aerospace engineering (ae)
,,156,7,nee,7,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
"In the time that I still lived at home, I barely felt connected to the university and fellow students.",,157,8,nee,8,bachelor jaar 1,bouwkunde (bk)
,,158,8,no,8,masters 2nd year +,industrial design engineering (ide)
,pent -up feelings,159,8,nee,6,bachelor jaar 2,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,160,4,ja,4,bachelor jaar 1,technische natuurwetenschappen (tnw)
,,161,8,nee,8,bachelor jaar 3,"techniek, bestuur en management (tbm)"
,,162,8,nee,7,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
"For myself, make the distinction between studying and relaxing. Because you study all day at home, it is difficult to get rid of it and and the threshold to do something in the evening is also low. I struggled to get rid of studying and really relaxing. That is much easier with physical education because you have a place for studying (the uni) and a place to relax (at home).",,163,6,nee,7,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,164,3,nee,3,bachelor jaar 2,civiele techniek & geowetenschappen (citg)
"When Classes are physical again, it should be optional for physical attendance to be request - online options need to be avialy for all courses regardless of the physical class occurring. This past year has proved that a simulcast of Digital and Physical is Possible. Additionally, The University Needs to Allow Administration Forms / Academic Counselor Meetings to Be Digital AS Well. I found it very stupid that I had to travel for an hour one way just to deliver a form in person because e-mailing is not an option as its even insecure! Also I need tu delft to fix their Microsoft Licensing - I do not have access to many Microsoft teams features because I'm a student having to use my @tudelft.nl account in tandem with my @student.tudelft.nl account. (My Partner is in It and They Consistently Rag on Tu Delft's Poor Microsoft Architecture.)",Yesterday I had an existential crisis about my life post-graduation and a minor mental breakdown due to my problems with being consistent on my thesis work-special while working from home-but today I am doing better.,165,5,no,6,masters 2nd year +,"technology, policy, and management (tpm)"
,,166,5,no,7,masters 2nd year +,civil engineering and geosciences (ceg)
"Far too little physical contact with other students, Slow very poor comminucation with Proffessors if you have questions.",,167,3,nee,4,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
,,168,6,ja,6,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
,,169,4,no,4,masters 1st year,civil engineering and geosciences (ceg)
"poor accessibility of teachers, far too long waiting times for psychologists and study advisers, substandard preparation for Master Thesis, little contact with fellow students",,170,3,nee,6,masters jaar 2 +,"techniek, bestuur en management (tbm)"
I would like to feel that the Tu Delft Cares About My Education,,171,5,no,4,masters 1st year,aerospace engineering (ae)
"Connection with Continuation Can my career after graduation, many online companies things etc. attended, but this didn't really feel like a success.",,172,7,nee,7,masters jaar 2 +,technische natuurwetenschappen (tnw)
"The long days behind your laptop were very tiring (but understandable). In addition, it would have been nice if more study places were available faster, so that no longer was only in your room every day. The education of course had to give way to the Corona crisis, but sometimes it was made very difficult. I would have liked it if there had been a choice during my studies whether you wanted to take your exam online or physically (since Q4 2020 everything has been physically in terms of exams). I sometimes found that you had to come physically unnecessary, since this also happened just before the Christmas holidays when everyone went to his parents afterwards. When you missed an exam by Corona, it was made fairly difficult to request an extra resit. This actually only encouraged students to come to the uni despite any complaints or quarantine. The same applies to Lab; It was said very clearly that when you missed a day by Corona or something, it was not possible to catch up and that you have to do it again next year. I thought this was incredibly weird and also irresponsible. She threatened with a year off if you just followed the Corona rules. This was very bothering me and I also noticed the stress of my fellow students that they were really not allowed to miss a day. This while some students live in large student houses with more than 18 people. The chance that you must then be in home quarantaine because one of these roommates has been (possibly) in contact with someone is simply quite high. So you are actually punished during the 4 weeks of this lab when you just follow the rules. I don't think your students are going to blame students for this, but it also entails the fellow students. In addition, it was also fairly annoying (also understandable) that the BEP period continues for at least 2 weeks during the holidays. In addition to these 2 weeks, most students also have further outlet. I thought it was fair that the BEP students were met in this, since, for example, the number of Lab Days of younger Years had been considerably reduced (not just lab). A lot of feedback, but of course I also realize that it was also very stressful for the professors and for university staff. So wants to close with; thank you very much!",,173,6,nee,6,bachelor jaar 3,technische natuurwetenschappen (tnw)
Burn-out during graduation.,,174,0,ja,0,masters jaar 2 +,industrieel ontwerpen (io)
"Not being able to see/notice that if you are stuck or do not go well, there are often direct fellow students in the same boat.",,175,7,ja,8,masters jaar 2 +,bouwkunde (bk)
"no new people meet, making it difficult to form groups of groups",,176,7,nee,6,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
,,177,4,ja,4,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,178,3,nee,1,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,179,,no,,masters 1st year,architecture and the built environment (a&be)
"What a weird/unclear survey, at a certain point the coronacrisis is at the top, ends and education moves towards a hybrid future. Which parts of the past year would you like to take with you to the future? Useful question, but then all statements are about the survey itself. Just about half of the survey consists of answering what you think of the survey ...",,180,7,nee,6,masters jaar 2 +,"techniek, bestuur en management (tbm)"
,,181,3,nee,6,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,182,,nee,,masters jaar 2 +,bouwkunde (bk)
,,183,7,nee,5,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"1) Studying continuously in the same place. The creation of a distance between study/internship moments and moments of rest was therefore difficult. What I missed the most is following lectures and working groups on location. 2) Graduating is already a relatively lonely process because you are mainly dependent on yourself. I think this was strengthened by Corona and working from home. Although I am well guided through my entire committee (I can hardly notice anything) this feeling remained. At a later stage, more 'activities' and digital meetings were organized. I don't know how this should be tackled differently.",,184,7,ja,7,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
Sometimes a feeling of misunderstanding that things are less obvious by Corona. And that the idea prevailed because it was just there you knew how you could deal with it and therefore had to do that.,,185,6,nee,8,bachelor jaar 2,technische natuurwetenschappen (tnw)
"Study pressure was very high, especially for first -year students. You have to get used to a new city and new study, now with the Corona crisis, even more independence was expected from us. Occasionally it was very difficult to motivate yourself.",It is warm and then sitting in a small room all day with a construction site afternoon is not nice.,186,5,nee,6,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
,,187,7,nee,7,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,188,6,yes,6,masters 2nd year +,architecture and the built environment (a&be)
Little contact between Proffessors and Student. It was not pleasant/motivating to have to look back only from previous years instead of newly recorded lectures,,189,7,nee,6,bachelor jaar 1,industrieel ontwerpen (io)
,,190,8,nee,8,bachelor jaar 2,"techniek, bestuur en management (tbm)"
"I found that the study adviser did not communicate well. I totally agree that no one is obliged to answer his or her mail within a day, but a week while I really did not be able to study, I find it ridiculous. Was very happy that I also have professional help outside the TU. I find it annoying not to be able to trust the TU.",,191,5,nee,7,bachelor jaar 4 +,"electrotechniek, wiskunde & informatica (ewi)"
,,192,8,ja,7,bachelor jaar 3,technische natuurwetenschappen (tnw)
"Many teachers and coordinators showed understanding via e -mails and messages on BrightSpace about the measures and that it is very difficult to study well. However, this was not reflected in the workload and expectations. We had as many deadlines and had to perform just as well as before. This led to extra stress.",,193,4,ja,6,bachelor jaar 2,bouwkunde (bk)
,,194,6,ja,6,bachelor jaar 3,industrieel ontwerpen (io)
"I think the pressure is too high. The BSA is lowered with five points, that doesn't make it any easier. During a pandemic, where a huge number of people have lost their lives, it did not feel like it was understood that the chance that someone died in the area was great. I myself have lost someone and I personally thought that there was no enormous understanding. I have to admit that I have not asked for a lot of help, but I think it might be a bit understood that not everyone will quickly board a study advisor or do such a wellness week. I hope that fear of failure, stress and burnout will be prevented, because I think this academic year was enormously tiring and sometimes really annoying. I like the study and I understand that many of them are outside the hands of the university/faculty, but I think it is good to say all.",,195,7,nee,7,bachelor jaar 1,bouwkunde (bk)
