study_programme,degree_programme,planned_grad_year,today_feeling,physical_health,student_needs,students_sugg_to_improve_wellbeing
industrial design engineering (ide),masters,yes,1.0,3.0,"professors take days to respond to emails, get them to do it faster. there are no spaces to work at the faculty, or more correctly, enough spaces. increase them. the waitlist for psychological help is 8-10 weeks. is this a joke?","talk about the issues instead of just saying nice that everyone is so resilient. people are not having a good time: we are suffering, and you people care more about hiding the fact that students are committing suicide than to actually helping avoid that students commit suicide."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,0.0,6.0,i need to see other people and i need to study in a community. i do not feel okay being all alone. i need to have more free time and be able to do sports. i feel way too miserable as it is.,"please let us study in campus, we are young, we need to be together. we are deprived of our basic human needs and every day i feel more and more sad being locked down like this."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,4.0,7.0,"i need more flexibility from the university. for example, i am currently in a different time zone that is 6 hours behind (est) this means that i miss my lectures and 9am exams are at 3am for me. allowing students to take exams at a different time and recording all lectures would be a good start.",just open up as much as you can
aerospace engineering (ae),bachelors,no,4.0,8.0,"real life human interactions, more free time, more opportunities",small scale get-togethers where students can socialize and interact with each other would improve the mood and wellbeing of everyone
architecture and the built environment (a&be),masters,no,6.0,4.0,the university needs to reopen with outdoor classes at least so we can meet fellow students,"allow students to meet each other by providing certain classes in person but distanced, just as some architecture electives have"
industrial design engineering (ide),masters,yes,7.0,7.0,- more cables in the faculty that allow me to connect my computer to the screens of the rooms...,- reflect upon the initiatives that are happening at tthe tu - learn from them and iterate - implement those initiatives in the bachelor and master programmes of the university (small practices)  - more study places...
architecture and the built environment (a&be),other,no,4.0,8.0,"all there is is work, all the fun has been removed from the courses since you cannot be taught in person. every conversation has an agenda and there is no chance of incidental social experiences.",the dutch government should vaccinate the country quicker.
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,1.0,2.0,"the bsa for first year students only contribute in a negative way for their wellbeing, and should have been even more reduced this year in particular.",reduce the bsa
civil engineering and geosciences (ceg),masters,yes,5.0,7.0,more ability to work on campus,"improving vaccination rates, but probably not something in your control"
architecture and the built environment (a&be),masters,no,6.0,4.0,"activities, in person, not online anymore","showing real people, instead of only online / words"
aerospace engineering (ae),masters,no,4.0,4.0,i need a group to work with for my thesis so i don't feel so alone. i need a day a week (when things open up) where we are allowed to go in person to campus to still feel like a part of the community,better response from academic counsellors (you wait in a zoom meeting waiting room for an hour and then they don't take your concerns seriously). quicker email reply from academic counsellors when internet issues etc arise so that there are options to continue on with the study
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,8.0,8.0,study buddies who volunteer to help fellow students who are finding courses really difficult or mandatory ta for every course who wants to guide students on right track,"creating un-official discussion platforms (such as whatsapp or disord or signal) for courses so that students know their classmates and can find someone to help them when they are stuck with some study related issues. i know its common and already happening, but i don't see it happening for many eemcs courses at least"
aerospace engineering (ae),masters,yes,1.0,6.0,training for professors on how to interact with students in a timely manner and how to actually use collaboration software in an effective manner. students time is just as valuable as the professors.,stop sugar coating decisions made and the effects.
industrial design engineering (ide),masters,no,8.0,5.0,"financial burden is one of the biggest issues i’m facing. also, given the the off campus education, reduced interaction on group projects is difficult. i feel a bit lost and lonely at times.",increased group interaction at the least. and more offline events
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,6.0,7.0,"want to meet significant other, go to a party, get drunk, have more time to do things i enjoy",be more lenient towards students and their struggles
"electrical engineering, mathematic, and computer sciences (eemcs)",other,no,5.0,2.0,is there any loan we can apply for international students?,"you are doing great, tu delft always is my dream place"
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,5.0,7.0,we lost a lot because of covid and we share the panic/fright of not having the time to catch up because of graduation time constraints.,offer more time to catch up next year. having an extra year to recover what we missed during covid would bring a lot of balance and peace of mind.
architecture and the built environment (a&be),masters,yes,2.0,6.0,social interaction,bk-beats
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,2.0,5.0,"i need support and compassion from my thesis group and supervisors. i need to feel belong in a community, whether it's tu delft or my student associations or something else.","for the internationals, financial condition is one of the biggest factor of our stresses. the second one would be feeling lonely and no sense of belonging here. so please welcome us and maybe be open to us, most of us want to feel belong here and we would very much like to learn about the local cultures and get along with that. opening up studying places in campus will also help. one thing that really help me going with the academic, before pandemic, was studying together with my friends even though we're not from the same program but it's nice to get some support and good vibe while we're studying our own thing."
aerospace engineering (ae),masters,yes,5.0,4.0,"just a community to really participate. i though that i was able to work on my thesis at the campus, now i can only dream of that","see previous, but also provide variety and smaller tasks, because the concentration otherwise drops to unknown lows, which causes study delay"
industrial design engineering (ide),masters,no,8.0,8.0,"i hope tud allows students to keep online even when lockdown is finished. i actually prefer this mode when i can be much free and feed myself with my own diet. if i have to be on campus, i would not be happier. i will have to eat more meals than normally i need to fit the schedule of campus etc.","just allow students to keep online, please. people have their own way to live."
architecture and the built environment (a&be),masters,yes,5.0,7.0,flexible graduation time without extra cost.,relax the study and workload pressure on students.
architecture and the built environment (a&be),masters,yes,5.0,4.0,"weekly reassurance, from teachers or classmates that i am doing fine, that i am on track with the graduation project. daily need for more communication (video calls, face-to-face, etc.)","maybe more lectures about mental psychology and how to cope with stress, studies, etc."
civil engineering and geosciences (ceg),bachelors,yes,4.0,9.0,"honestly, if i can just make my bsa and figure out how to study geology i will be so much happier and ill get back on track with everything","i guess just bring people of similar interests together, sounds vague but i cannot think of anything better."
architecture and the built environment (a&be),masters,yes,8.0,7.0,"need to talk to my teachers physically, to move more, to visit more places, to go out more","no, not yet."
aerospace engineering (ae),bachelors,no,4.0,6.0,"there is a lack of effort from the tu delft to include people who are introverted into activities for wellbeing. personally, i think that tu delft really dropped the ball here because there are multiple things they can organize to fix these problems. the average student has always been top of the class and has therefore had little to no help. it is hard to change to an open attitude from one day to the other and this is somehow expected from us.","current times are different for all of us and i do not expect a handheld attitude from the tu delft. however, the lack of personal contact is starting to hurt many of us students. mentors for first-year students are not checking on how you are doing but more on how the project is going. when you are in a group of eleven you do not start a conversation with your mentor on how your personal life is going. this can easily be solved by planning more one-to-one talks with your mentor."
applied sciences (as),bachelors,no,2.0,5.0,bring back lectures and werkcollege in person,cancel coronavirus please
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,8.0,8.0,"just that the curriculum must be altered/transformed according to the times. uni shouldn't be too resilient for keeping things all the same. i don't mean cutting out the syllabus, but just mold it in a way where it doesn't seem daunting for students who are confined to a small room for most of the time.","all the online interaction are good, but nothing beets physical interaction or talking to a student physically. there is soooooo much of space available. building 36 has 22 floors! there is aula, id building has such big halls. having small bubbles where students can come to talk to professional would make a lot of difference. i personally have a lot to talk about but doing it online doesn't appeal me honestly."
applied sciences (as),masters,yes,0.0,5.0,specific need would be availability of sessions with a therapist/psychiatrist via the university,offer free sessions with a therapist/psychiatrist for students
architecture and the built environment (a&be),masters,yes,7.0,9.0,"on site meetings with my tutors. i’m currently in graduation studio at bk (architecture). i personally think working remote doesn’t work with architecture practice! we are now able to study at bk, but i like it better to meet my tutors face-to-face.","maybe create some collective exercise groups. for examples: find some fitness/yoga coaches to make lots of small groups of students who want to workout together, outdoors. can be yoga or zumba or etc that x provides. with nice weather in the upcoming weeks, i think we can make use of tu delft campus site for workout outdoors. but this needs the leaders/coaches (of each small groups) should be the one who responsible for this, esp to gather and invites people to join."
applied sciences (as),masters,no,6.0,6.0,"except human contact, no specific needs",what you can do? i dont think so these surveys can help anyone in these times. but thank you for trying.
aerospace engineering (ae),bachelors,yes,7.0,5.0,i need you to make me feel like i'm doing all of this for a reason.,i'd like to see that you are doing something. perhaps you could show us the results of these surveys and tell us what you are going to do in light of them?
aerospace engineering (ae),masters,no,2.0,5.0,i feel like i really need a break and i unfortunately feel like that is not possible.,"financial aid, and a more understanding attitude from professors regarding study delays. i do not feel that it is possible for me at this moment to make the same amount of progress that i was making before the first lock-down with corona. since then it has been difficult to get back on track."
architecture and the built environment (a&be),masters,yes,6.0,9.0,my last year of on campus education,reopen the campus
architecture and the built environment (a&be),masters,yes,7.0,6.0,the student counselor i had was not very helpful.,get the different associations involved.
"technology, policy, and management (tpm)",masters,yes,6.0,3.0,non-eu students can get some sort of financial relaxation if they are not able to finish their thesis on time.   covid has a negative effect on mind and body.,american universities are open despite the covid  atleast open the sports facility
aerospace engineering (ae),bachelors,no,1.0,2.0,i need a room to stay in,please provide more study spaces for students. please change exams into projects so that we can work with other humans and interact.
"technology, policy, and management (tpm)",masters,no,3.0,6.0,"better organised courses. as international students we are paying 18k for online university. this is already a lot. we do not have the support of our family here and we do not have as much friends as we would want due to corona. we expect courses to at least be well organised : good planning, calendar for assignments, clear grading schemes for assignments, availability of course manuals or at least relevant course books.",better planning. more organised. course manuals containing all the information needed to pass the course. calendar for assignments. clear grading schemes.  it is the least you would expect from a top university.
applied sciences (as),masters,yes,2.0,5.0,there should be some provision for international students at least where they can get an exemption from tuition fees in which their studies get extend due to uncontrol or unexpected circumstances.,by organizing more online sessions of talks
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,2.0,7.0,"the professors should make a clear distinction whether they are lecturers or researchers, because they do not answer on time or not at all",help student to understand how important mental health is and how they can address this problem
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,2.0,5.0,in person lessons at least for the vaccinated people,a more applied study assessment
aerospace engineering (ae),masters,yes,6.0,6.0,sports and social interaction in other environments than people's student home.,offer more psychological support from experts to students. it helps to share issues and problems with a neutral party.
civil engineering and geosciences (ceg),masters,no,4.0,3.0,"less workload , change in the study system (semesters instead of quarters)",again less workload - maybe change of the study system
aerospace engineering (ae),masters,no,7.0,6.0,on campus study spaces at the faculty with classmates,acknowledge the struggles students are going through
civil engineering and geosciences (ceg),bachelors,no,3.0,4.0,loneliness,"organise safe ways for students in a study to meet each other physically. for example, my course ,applied earth sciences has a relatively small amount of students , so this is a viable option and is very much needed as soon as possible?"
aerospace engineering (ae),bachelors,yes,2.0,5.0,"i really fear about graduating in time not just me, all my friends became braindead of this fear, this faculty is blind to the fact that students may not be able to work as efficiently living in basically cells 24/7","give us a zachte knip style measure, that litteraly will save most the students from their greatest worrying, giving up more of their lives studying when they could have graduated"
civil engineering and geosciences (ceg),masters,no,7.0,6.0,"connection with people, more (free) physical activities i can do alone/with someone. even just studying at the library talking to no one is better than staying at home all day, just seeing people and interacting with the outside makes a huge difference!",more activities like wellbeing week and workshops where we can talk and make things online
architecture and the built environment (a&be),masters,no,3.0,5.0,one day/activity to bond and first of all know in person as much as possible (i know corona is still around) my fellow master's classmates.,"more psychologists available, right now the waiting time to have a session is up to 9 weeks."
aerospace engineering (ae),bachelors,no,9.0,6.0,i just want to go back to the campus and see some other students.,let students work at the campus.
architecture and the built environment (a&be),bachelors,no,7.0,3.0,"1) more help for mental health and wellbeing of students (with good advertising, so everyone knows)  2) beter availability of student psychologist  3) beter understanding of student advisors and professors about mental health difficulties of students 4) help with motivation for study 5) help with improving physical health of the students","1) more help for mental health and wellbeing of students (with good advertising, so everyone knows)  2) beter availability of student psychologist  3) beter understanding of student advisors and professors about mental health difficulties of students 4) help with motivation for study 5) help with improving physical health of the students"
applied sciences (as),other,yes,5.0,4.0,start working in the office again,try to organize offline events given the necessary corona measures
architecture and the built environment (a&be),masters,no,5.0,8.0,i think spreading the various options the university has to offer in terms of mental health is necessary as often students are not aware of them.,i think there should be more student councilors and they should be more accessible. i think there should not be a limit on the number of sessions either as often 5 is not enough!
civil engineering and geosciences (ceg),bachelors,no,3.0,6.0,it would be nice to have well-being programme as an (constant) on-going programme. there should be a team/unit of professionals that could only take care of students and focus on mental health at tu delft. it would be nice if our mentors would be more engaged in well-being movement.,organise a well-being programme every week - at least one activity per week. make more outside activities such as vssd did - with walk and talk.
architecture and the built environment (a&be),masters,no,6.0,8.0,"if the pools would open up again, that would make me so much happier already. besides that, just sleep, a lot of sleep","cutting down the tuition fee would solve a lot of people's worries ;) but for the rest, no, it's really hard"
aerospace engineering (ae),masters,no,2.0,6.0,"zero practical experience was not what i was expecting, and i think way more could have been done to grant some experience",focus on reopening as soon as possible
architecture and the built environment (a&be),masters,yes,6.0,7.0,"help for graduation students, information about measures, like releasing some pressure or thinking of adjustments in criteria for graduation, while still taking into account the capabilities of students of course.",keep having activities and make them unlimited and open for everyone
civil engineering and geosciences (ceg),masters,no,2.0,5.0,"i asked a professor for an extra assignment or alternative way of assessing what i know, so that i could achieve the extra 0.3 points that i need to pass the course (it is my 3rd year taking it and the 5th exam i did). even though i stated my special conditions student status she didn't even answer to my email.","alternative examination ways. people that have anxiety, depression or take certain medications may feel overwhelmed by the time restriction of the exams because they cannot predict when will they have a good moment or a crisis. with assignments people can work on them at any moment they feel okay and a psichological crisis won't have so much weight in the final result. like this, students can feel productive and in control of their studies because they won't depend on having good luck in the emotional lottery the day of the exam. we are judged by our performance one certain day and not for all the work we have struggled to do the previous 2 months. i've had courses (before corona) that switched from exam to group assignment in order to assess the knowledge on their students. i know some professors are worried that we could cheat, but that hypothesis can also be applied to any assignment-based course in the university. if it is enough proof of knowledge for some courses i don't see why it is not for others."
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,5.0,7.0,"social interaction, but of course this is not possible","maybe create/use a platform where students can meet and relax, share hobbies or even stupid games. possibly without videocalls because we se faces in screens 8h per day"
applied sciences (as),bachelors,no,6.0,9.0,"i want to meat new people, and live life  as an 18 year old should do",right now the feeing is that our well-being is not important enough
aerospace engineering (ae),bachelors,no,5.0,6.0,more practice tests :) and send care packages with snacks and fun tasty things,above my pay grade i have no idea
"mechanical, maritime, and material engineering (3me)",bachelors,no,5.0,8.0,burn-out,don’t put retake week right before exam week
civil engineering and geosciences (ceg),masters,no,6.0,8.0,have a place to go to outside of home (not necessarily for studying just a destination),"i think all the online events are a great initiative but they are all online and do not prevent the feeling of being isolated... i am sure that there are great ways to still socialize on a one on one basis or through outdoor activities but i think i barely know any of them... i think it would be great to promote such activities even more, also what student initiatives there are and how to get involved right now - maybe in the form of a newsletter"
industrial design engineering (ide),masters,no,3.0,6.0,"consider our horrible mental situation when planning courses and deadlines and gradings. we can not take same amount of wrok and pressure as the normal situation. two students committed suicide last semester, isn’t it a warning that tu delft is putting too much pressures in students? is this pressure even necessary?","just take it a bit easier on us than normal situation, we need kore time to rest, we need more time to exercise, if you give us time, we know how to get the best out of it :)"
civil engineering and geosciences (ceg),bachelors,no,5.0,7.0,"i am sorry, maybe my words in the answer before is not very friendly, tho i am indeed unhappy with current situation, and the 'freedom' of some people which makes the virus still out of control. since vaccination is slowly proceeded, i feel we will go back to normal but currently i am still not very positive about it.","i cannot really give a suggestion because the daily life and study already take me a lot of time. i don't want to pay extra attention to activities, so i didn't take much of them. and i still want to point out that find better ways to control virus and reduce the cases is the most most most important."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,7.0,7.0,"balance the courses, there are too many assignments/exams/registrations going on at the same time; show that you care and stop coming with excuses, face the truth, you are telling us you wont make courses easier, okay we agree with that that's what we signed up for, but don't make them even harder; deadlines should be for everyone both students and lecturers, if we are 5 minutes late for submitting a document we will get into problems, lecturers posting results after 1 month are a special situation due to corona, that's not fair; actually make changes when there are problems signaled",everything that was needed i mentioned before
architecture and the built environment (a&be),masters,no,3.0,4.0,"more human contact, more face-to-face tutor contacts, discussions....","outdoor fitness classes, open the faculty during summer for students, organize some on-campus activities during the holiday so we at least have a chance to enjoy it and meet others"
aerospace engineering (ae),bachelors,no,7.0,4.0,i would very much like to get the project sessions on campus (at least). it's getting very difficult to interact with the group over a call and dividing the tasks. i would also appreciate opening facility tours of ae faculty for each and every student. i would also like to experience all the experiment and lab facilities that first-year students would normally have access to. i would really want tu delft to make up for this year lost.,"keep more on-campus studying options. otherwise, there's no other way to improve student wellbeing. at least help us in making friends from the faculty. currently, i hardly know about 3% of students from the ae first-year bsc students. the least you can do is open self-study options at the faculty so that we have access to the fellowship/ae faculty."
aerospace engineering (ae),bachelors,no,6.0,8.0,let me come to campus and the tu delft sports center. that would literally fix all my complaints.,fix the problem instead of trying to mitigate the symptoms.
"technology, policy, and management (tpm)",masters,no,8.0,7.0,more flexibility in finances (or somewhat compensate for that we're not able to use the facilities),sort out the proctoring mess happening and tpm....
"mechanical, maritime, and material engineering (3me)",masters,yes,4.0,6.0,i don't think what i want is possible for tu to provide with. maybe tu is doing its best to deal with the situation. it's just that i am tired of coronavirus.,no.
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,4.0,2.0,"a date to look forward to, when we're allowed to see each other in person again and party and do things we didn't do for more than a year now while almost everyone older than 25 describes this period as the most fun and best period of their life, which is obviously for the most part because of the social contact.","give us a date to look forward to, even if it's still a long time away. treat us as being wise enough to understand the situation may change."
architecture and the built environment (a&be),masters,no,5.0,4.0,"just an possible idea: i think a lot of international students must be missing home right now, in many different ways. maybe an international call could be fun, where students from certain countries could go to breakout rooms where they could speak their native tongue, maybe cook traditional meals together, etc. not sure how it would work, but i find that it's a good way to make new friends.",receiving this surveys makes us feel that tu delft cares. any other creative ways to reach out and emphasize your presence is important. maybe weekly emails? maybe a panel where people can share their struggles and therefore feel less alone? in general i think tu delft is doing the most important: getting feedback from students. that is the best way to improve! thank you for doing that.
architecture and the built environment (a&be),masters,no,10.0,10.0,i worry because i haven't raised enough money for next year due to corona my family may find it difficult to help me,it would be nice to just say that the next year will be online for the 2and year master students before september so that we can decide what is best for us and make tuition fees less since we dont actually go to faculty
civil engineering and geosciences (ceg),bachelors,no,6.0,6.0,more life on campus,"reopen the campus as much as possible, don't be scared to let students in. also, when we do go to campus, don't make it feel like we're not welcome. with signs like: no socializing!"
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,5.0,5.0,i wish i could have more connections with other students or i wish there could be some online social activities for students that could help me know new friends.,"will there be some websites that collect most public announcements of recent activities, public speech and entertainment? before i used to know these things on posters, but now i wish i could know what is happening in tu delft even i did not go to school."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,4.0,6.0,a proper holiday between terms 3 and 4.,"by providing a holiday between terms 3 and 4. because the easter holidays which are meant to replace a holiday inbetween the two terms falls right before our end of term exams, this results in many students not taking a break but studying instead. this means that students do not have a proper break which means that students get more stressed."
civil engineering and geosciences (ceg),masters,no,4.0,5.0,i feel i am really distanced from the tu environment,more physical interactions and activities'
industrial design engineering (ide),masters,no,6.0,6.0,"the courses are not coordinated, juest because we are at home it doesn´t mean we are going to spend all the time fullfilling the amount of work they ask us to do. i think the master abuses the self study, i like guidance and i feel i don't have this here even when i had to pay more than other students (dutch and eu). i feel neglected because it's clear there's a lack of guidance at the beginning of each semester because we are mixed with people from previous years.","coordinate the courses deadlines for you to look at the amount of tasks we have to do. a line of assistance should be available (proper classes) not only the mail of professors, not all of them answer. add information on your main page about when i have to pay the next year, it's very annoying to beg for something that at the end benefits both of us (payment of education)."
applied sciences (as),masters,no,5.0,8.0,"it would help a lot of the courses would adjust to the situation. i think students would benefit a lot these days to have more griup project or group assignments with people they don't know instead of working all alone, all the time.",for when corona is over: organize a massive party with the entire uni! happiness and well-being is not only about the now but also what we look forward to :)
aerospace engineering (ae),masters,no,5.0,8.0,i need a partial refund of my tuition fees and a place to stay after the end of my housing contract.,give partial refund of the tuition fees of the current academic year.
aerospace engineering (ae),bachelors,no,7.0,10.0,"delft is doing a great effort with the situation, but the biggest thing missing at the moment is a feeling of being at university. just the good type of pressure of being surrounded by other people working and being required to actively do things",just push as much as possible for anything that isn't online
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,1.0,8.0,"flexibility to extend study without financial burden. all the activities planned by university try tackle current situation. but the real devil lies in the future, everything is so uncertain that a student can hardly think about only present and be happy. unless a student is given some assurance about future, the mental stress would be unavoidable.",1) really need some outdoor activities in group. however i understand the restrictions.  nothing else i can think of. to every student it is very clear that university is running out ideas for dealing with the situation. the situation is so bad that the suffering students themselves are clueless about things that can be done to improve the situation.
civil engineering and geosciences (ceg),masters,yes,2.0,8.0,financial support is the biggest crisis that we face. the uncertainty of graduating on time and the difficulty to find an internship at a company is very excruciating,"open more physical activities, reduce the waiting time for talking to a psychologist at tu, restricted events in terms of number for social interaction"
"technology, policy, and management (tpm)",masters,yes,4.0,7.0,practical information on getting help: - how the dutch healthcare system works - the coverage of insurance for psychological treatments - regeling profileringsfonds,encourage teachers to be open for discussions related to wellbeing with their students..
civil engineering and geosciences (ceg),masters,no,8.0,9.0,compensate non eu second year students. we didn't sign up for online lectures when we said yes to 18.750 eur per year. that is the price for live lectures. for online lectures should be reduced for last year and this year.,organize activities where we actually see other students. we do not like joining other online events. we are tired of those.
"technology, policy, and management (tpm)",masters,yes,7.0,5.0,unjustified high tution fee,work on helping the present students financially instead of focussing on reducing tution fee for next academic year when the problem might be non-existent or students know what they are signing up for.
aerospace engineering (ae),masters,no,7.0,3.0,"tu delft needs an overall improvement in the education quality (better faculty, better teaching methods...). also, particularly for msc/phd students, the university should not limit where (physically) they can do internships or not (or live/travel). it looks to us that tu delft is acting as a government/court, specially when other european (and dutch) universities allows their students to travel (including usa, china,...) for some academic/research activities. also, regarding mandatory internships, the university should/must provide an internship to all of their students for whom the internship is mandatory, and on time, so they do not need to extend their studies. if not possible, the university must offer an alternative to the internship (always, not only with the coronavirus crisis).","instead of making new good things (i.e. wellbeing week) to hide the downsides of the university, the university should improve the bad things and not annoy/sink their students."
aerospace engineering (ae),masters,no,6.0,9.0,"having access to my faculty, even if just for studying",access to faculties?
applied sciences (as),masters,no,5.0,5.0,i need more events connecting me to others within my own study program,"in my own experience the most impactful thing that can be done to help students is shifting to a project-based, rather than exam-based, grading criteria. exams heighten student anxiety, but projects are much more engaging, fulfilling, and give students more of an opportunity to work together and connect over a shared goal."
aerospace engineering (ae),masters,no,6.0,7.0,"feedback and communication with the lecturers, tas, etc. the learning process is supported by interaction with people that can guide and correct you and not by some videos posted on brightspace, tons of assignments and no one to discuss the materials with. and to be clear: of course we discuss among fellow students, but input from professors and tas is required to solve doubts, give new inputs, correct errors,...","well, i've mentioned it a couple of times in the previous questions, but: professors have to learn how to teach online, students are not just viewers, they have to actively support students and encourage interaction. right now, the only difference between my msc and a mooc is that i'm paying much more.  additionally: clarity. a statement like for master students everything will be online this academic year, except certain course does not help. there should be a clear decision, since many people structure their current lives around such statements. not knowing if a (mandatory) on campus activity will take place or not and when is not acceptable. for some of us this means not being able to go back home to our families and instead spend weeks alone in our rooms in delft, because we do not know when certain activities will take place and with current regulations you cannot 'quickly' come to the netherlands for a lab exercise or alike."
aerospace engineering (ae),bachelors,yes,7.0,9.0,having to resist exams can be very demotivating and put too much pressure on students when they’re supposed to be focused on what they’ve learnt during the quarter. i truly think performance would increase if exam weeks came first and then there was a separate resit week with a possible few days break in between. this will allow students that have been affected by the ongoing coronavirus situation focus on present learning and not have a constant reminder of their poor performance during the previous exams while they have to do new ones.,schedule resit exams after regular exams in exam season.
aerospace engineering (ae),bachelors,no,9.0,8.0,flexibility of the university regarding students not feeling safe on campus with corona when reopening certain facilities.,"reduce the amount of deadlines with which the students have to deal for different courses, as students may feel stressed at home when needing to cope alone with this situation. one big exam at the end of the course may be more efficient than 4 group homeworks (in which some students have to 90% of the work others should normally do...) and an exam."
aerospace engineering (ae),bachelors,no,7.0,2.0,the tu has done all it can really; i don't blame them. we're just victims of circumstance after all.,"there's nothing that can be done except to have some spark in my life. unfortunately, there is not much that the tu can do for me short of opening in person group projects or lectures."
